Id,Title,Text
S500050,"1916 Canada Census of Alberta, Saskatchewan, and Manitoba","The Prairie Province census was conducted every 10 years from 1906 to 1956. The purpose of this special census was to measure the high population growth occurring in this part of the country during th
e first half of the 20th century. Note: records for some sub-districts have not survived; in some instances, this may account for negative search results."
S500051,"United States and Canada, Index of Obituaries, 1900-2019","This collection includes the name of the deceased, place of birth, place of death, age and the publication source including locality information."
S500052,"Канада, поховання, 1800-2019","Записи про поховання можуть допомогти вам знайти інформацію про смерть та поховання родичів з Канади. Крім т?
?го, ці записи можуть допомогти визначити предків, які відсутні в інших записах."
S500053,"United States Passport Applications, 1795-1925","<p>It is important for genealogists to note that prior to 1952 US passports were generally not required for international travel. There were only two time periods during the span of this collection wh
en passports were required for traveling internationally: during the Civil War and World War I. Many individuals who traveled internationally will not appear on any passport index simply because passp
orts were not required. However, passports were of particular benefit to naturalized US citizens traveling abroad as the passport reduced the likelihood that their birth country would try to detain th
em or prevent their return to the United States.</p>
<p>In addition to this passport collection, it may be beneficial to search passenger manifests. While an individual may not have needed a passport to travel internationally, they will be listed on a U
S citizen manifest. However, the information found on US citizen manifests is sparse compared to the information found on later passport applications.</p>
<p>It was also rare for a single passport to cover multiple trips abroad. Many wealthy US citizens appear multiple times within this collection because they applied for a new passport with every voyag
e.</p>"
S500054,"Індекс смертей у Коннектикут, 1949-2012","<p>Інформація, представлена в цьому індексі, може бути використана, щоб просити копію оригіналу свідоцтва про
смерть. Оригінальний запис буде подібний на список додаткової інформації про померлого і його чи її смерть. К
опії записів про смерть можуть бути отримані з <A href=""http://www.ct.gov/dPh/cwp/view.asp?a=3132&q=388130&dphNav=</p><p>46940</p>&dphNav_GID=1601"" target=""_blan
k""> Державного управління реєстрації актів цивільного стану в Коннектикут Департаменту громадської охорони ?
?доров'я</a>. Копії записів актів громадянського стану можуть бути також отримані з <A href=""http://www.ct.gov/dPh/cwp/view.asp?a=3132
&q=388128"" target=""_blank"">штат Коннектикут</a>, де відбулася подія. Примітка: для років з 1952 до 1958, цей показник включає в с?
?бе тільки смерті, що сталися в штаті Коннектикут; смерті мешканців з-поза меж штату Коннектикут не включені. ?
?ля років 1963, 1971 і 1972 цей список включає в себе записи тільки про мешканців Коннектикуту; смерті мешканців з-по
за меж штату, які мали місце в штаті Коннектикут, не включені."
S500055,Rondeau Web Site,<p>Родинне дерево MyHeritage</p><p>Сімейний сайт: Rondeau Web Site</p>Родинне дерево: 422393-1
S500056,Fordyce Web Site,<p>Родинне дерево MyHeritage</p><p>Сімейний сайт: Fordyce Web Site</p>Родинне дерево: 437225811-1
S500057,Centner Web Site,<p>Родинне дерево MyHeritage</p><p>Сімейний сайт: Centner Web Site</p>Родинне дерево: 465803001-1
S500058,"Philadelphia, Pennsylvania, Passenger List Card Index, 1883-1948",This collection is part of the <a href='#' target='_self'> United States Passenger and Immigration Records Collection</a>.
S500059,"Zaleszczyki, Galizien, Austria - Fond 303 Akta Parafii Wyznania Rzymskokatolickiego z archididiecezji Lwowskiej , Zaleszczyki - księga zapowiedzi, 1825-1838",https://www.familysearch.org/ark:/61903/3:1:3QS7-89NJ-VCPJ?i=23&amp;cat=3002499
S500060,"Brazil, Rio de Janeiro, Immigration Cards, 1900-1965",Additional images and indexed records will be published as they become available.
S500061,Witryna rodzinna,<p>Родинне дерево MyHeritage</p><p>Сімейний сайт: Witryna rodzinna</p>Родинне дерево: 78722943-1
S500062,Trojanowska Web Site,<p>Родинне дерево MyHeritage</p><p>Сімейний сайт: Trojanowska Web Site</p>Родинне дерево: 238195371-1
S500063,Huschke Web Site,<p>Родинне дерево MyHeritage</p><p>Сімейний сайт: Huschke Web Site</p>Родинне дерево: 222516871-2
S500064,Chubak Web Site,<p>Родинне дерево MyHeritage</p><p>Сімейний сайт: Chubak Web Site</p>Родинне дерево: 25758671-2
S500065,"US Naturalization Record Index, Northern Illinois, 1840-1950","Naturalization requirements changed significantly in the year 1906. Prior to 1906, naturalization petitions required a limited amount of information, often only collecting the name of the petitioner,
the name of the court, record number, the petitioner’s country of origin, and the date of naturalization. After 1906 naturalization documents collected additional information such as the petitioner?
??s address, names and addresses of any witnesses, birth date, as well as date and place of arrival in the United States. While the scope of the documents expanded, not all documents include the addit
ional information.Petitions for naturalization were one of the final steps towards United States citizenship. Of particular interest to genealogists, these petitions sometimes include multiple surname
s, often the alternate spellings or their “old country” name as well as their “Americanized” name. Each record within this index contains a Soundex Code that can be used to find the original n
aturalization records within NARA’s collections.Naturalization petitions filed within the following counties between the years of 1840 and 1950 can be found in this collection. However, dates vary b
y county. For example, there are no naturalization petitions prior to 1871 for the largest county by population: Cook County, Illinois. Counties in Illinois: Boone, Bureau, Carroll, Champaign, Cook, D
e Kalb, Du Page, Ford, Fulton, Grundy, Henderson, Henry, Iroquois, Jo Daviess, Kane, Kankakee, Kendall, Knox, Lake, La Salle, Lee, Livingston, Marshall, McHenry, McLean, Mercer, Ogle, Peoria, Putnam,
Rock Island, Stark, Stephenson, Tazewell, Vermilion, Warren, Whiteside, Will, Winnebago and Woodford. Counties in Indiana: Benton, Fulton, Jasper, Lake, La Porte, Marshall, Newton, Porter, Pulaski, St
. Joseph, and Starke. Counties in Iowa: Allamakee, Appanoose, Benton, Black Hawk, Bremer, Buchanan, Butler, Cedar, Chickasaw, Clayton, Clinton, Davis, Delaware, Des Moines, Dubuque, Fayette, Floyd, Gr
undy, Hardin, Henry, Howard, Iowa, Jackson, Jefferson, Johnson, Jones, Keokuk, Lee, Linn, Louisa, Mahaska, Mitchell, Monroe, Muscatine, Scott, Tama, Van Buren, Wapello, Washington, and Winneshiek. Cou
nties in Wisconsin: Adams, Brown, Calumet, Columbia, Crawford, Dane, Dodge, Door, Florence, Fond du Lac, Forest, Grant, Green, Green Lake, Iowa, Jefferson, Kenosha, Kewaunee, Lafayette, Langlade, Mani
towoc, Marinette, Marquette, Menominee, Milwaukee, Oconto, Outagamie, Ozaukee, Portage, Racine, Richland, Rock, Sauk, Shawano, Sheboygan, Walworth, Washington, Waukesha, Waupaca, Waushara, Winnebago,
and Wood."
S500066,"Canada Newspapers, 1752-2007","<p>Before vital records were recorded by city, county, or state governments, local newspapers often published articles listing or detailing these events. Obituaries contain vital and biographical info
rmation on the decedent but also on his or her family and relatives.</p>
<p>Society pages began as a way to entice readers with gossip and news about the wealthy and famous but soon evolved to cover the goings-on of “average” citizens. An incredible array of informatio
n can be discovered in these society pages or sections from seemingly mundane notices and reports on events such as parties, job changes, hospital stays, and social visits by friends or relatives. The
se pages are a source of historical events that are unlikely to exist in any other record.</p>
<p>Coverage and completeness in this collection varies by title.</p>"
S500067,Стогул Web Site,<p>Родинне дерево MyHeritage</p><p>Сімейний сайт: Стогул Web Site</p>Родинне дерево: 401508351-1
S500068,Peña Acevedo Site,<p>Родинне дерево MyHeritage</p><p>Сімейний сайт: Peña Acevedo Site</p>Родинне дерево: 76947392-1
S500069,"Списки для голосування, Венесуела, 2006 - 2007",""
S500070,Rodzina Sochackich Web Site,<p>Родинне дерево MyHeritage</p><p>Сімейний сайт: Rodzina Sochackich Web Site</p>Родинне дерево: 748653431-7
S500071,sochacki Web Site,<p>Родинне дерево MyHeritage</p><p>Сімейний сайт: sochacki Web Site</p>Родинне дерево: 210658131-1
S500072,"Austria-Hungary, World War I Casualty Lists, 1914-1918","Records often also contain a casualty list number, the type of casualty, a page number, and any additional comments."
